txn_id,account_id,amount,txn_type,txn_date,status
TXN-0000001,ACC-00087,6942.86,credit,2024-07-27T11:27:55Z,pending
TXN-0000002,ACC-00075,3164.29,credit,2024-08-02T08:18:07Z,pending
TXN-0000003,ACC-00154,24212.08,debit,2024-10-07T11:51:22Z,pending
TXN-0000004,ACC-00484,12330.26,credit,2025-04-06T05:21:12Z,failed
TXN-0000005,ACC-00101,22893.62,debit,2024-08-24T15:14:12Z,completed
TXN-0000006,ACC-00486,19785.2,credit,2025-09-16T13:04:17Z,pending
TXN-0000007,ACC-00226,16737.48,debit,2024-08-21T08:31:10Z,pending
TXN-0000008,ACC-00309,47364.0,debit,2025-01-07T01:23:19Z,pending
TXN-0000009,ACC-00091,48228.77,credit,2024-08-14T08:59:14Z,failed
TXN-0000010,ACC-00356,31645.49,debit,2024-09-10T02:57:35Z,pending
TXN-0000011,ACC-00144,40824.91,credit,2024-10-10T12:22:58Z,completed
TXN-0000012,ACC-00478,28192.96,debit,2025-06-13T12:02:40Z,failed
TXN-0000013,ACC-00014,47650.28,credit,2025-07-04T04:55:08Z,completed
TXN-0000014,ACC-00225,39884.48,debit,2025-09-28T02:37:28Z,pending
TXN-0000015,ACC-00345,24965.66,credit,2024-07-06T23:36:05Z,pending
TXN-0000016,ACC-00338,7708.01,credit,2025-09-04T21:27:25Z,pending
TXN-0000017,ACC-00038,22453.89,credit,2025-03-28T05:48:54Z,pending
TXN-0000018,ACC-00274,25331.13,credit,2025-02-26T06:16:52Z,completed
TXN-0000019,ACC-00405,48421.43,debit,2024-03-25T22:47:37Z,completed
TXN-0000020,ACC-00337,33235.03,debit,2025-05-17T12:57:04Z,failed
TXN-0000021,ACC-00023,28161.45,credit,2025-08-07T15:01:26Z,pending
TXN-0000022,ACC-00495,39811.76,debit,2024-01-09T04:37:29Z,completed
TXN-0000023,ACC-00133,11100.83,debit,2024-12-12T05:54:52Z,pending
TXN-0000024,ACC-00201,23153.7,debit,2024-09-24T22:39:29Z,completed
TXN-0000025,ACC-00248,5228.36,credit,2025-12-16T00:14:59Z,completed
